,c,c,s,m,d,c_c,c_s,c_m,c_d,c_s,c_m,c_d,s_m,s_d,m_d,c_c_s,c_c_m,c_c_d,c_s_m,c_s_d,c_m_d,c_s_m,c_s_d,c_m_d,s_m_d,c_c_s_m,c_c_s_d,c_c_m_d,c_s_m_d,c_s_m_d,c_c_s_m_d
c,1.0,0.6490825688073395,0.3115727002967359,0.2953667953667954,0.34541984732824427,0.6513761467889908,0.8427299703264095,0.5482625482625483,0.5419847328244275,0.5904365904365905,0.4700996677740864,0.4677685950413223,0.37455197132616486,0.3829787234042553,0.34215500945179583,0.5904365904365905,0.4717607973421927,0.46942148760330576,0.5089605734767025,0.5035460992907801,0.5368620037807184,0.4444444444444444,0.4423676012461059,0.4639344262295082,0.37961335676625657,0.4444444444444444,0.4423676012461059,0.46557377049180326,0.4991212653778559,0.43894899536321486,0.43894899536321486
c,0.6490825688073395,1.0,0.23284823284823286,0.36772046589018303,0.41721854304635764,0.9977064220183486,0.604989604989605,0.5830564784053156,0.5851239669421487,0.9043659043659044,0.7237936772046589,0.7201986754966887,0.43661971830985913,0.4501557632398754,0.41379310344827586,0.9043659043659044,0.7225913621262459,0.71900826446281,0.5539906103286385,0.5560747663551402,0.580327868852459,0.6807511737089202,0.677570093457944,0.7142857142857143,0.446676970633694,0.6807511737089202,0.677570093457944,0.7131147540983607,0.5517774343122102,0.6723338485316847,0.6723338485316847
s,0.3115727002967359,0.23284823284823286,1.0,0.12836438923395446,0.16733870967741934,0.23492723492723494,0.4688427299703264,0.2114695340501792,0.20921985815602837,0.3284823284823285,0.18779342723004694,0.18691588785046728,0.32712215320910976,0.3185483870967742,0.1656686626746507,0.3284823284823285,0.18935837245696402,0.18847352024922118,0.2831541218637993,0.2801418439716312,0.20738137082601055,0.24726134585289514,0.24610591900311526,0.18547140649149924,0.3153692614770459,0.24726134585289514,0.24610591900311526,0.18701700154559506,0.27768014059753954,0.24420401854714066,0.24420401854714066
m,0.2953667953667954,0.36772046589018303,0.12836438923395446,1.0,0.8747099767981439,0.36710963455149503,0.2974910394265233,0.747104247104247,0.7059925093632958,0.35837245696400627,0.6439267886855241,0.6140065146579805,0.8012422360248447,0.7450592885375494,0.9039812646370023,0.35837245696400627,0.6428571428571429,0.6130081300813008,0.6935483870967742,0.6567944250871081,0.7283018867924528,0.6056338028169014,0.5782208588957055,0.6327868852459017,0.7689243027888446,0.6056338028169014,0.5782208588957055,0.6317512274959084,0.6771929824561403,0.595679012345679,0.595679012345679
d,0.34541984732824427,0.41721854304635764,0.16733870967741934,0.8747099767981439,1.0,0.41652892561983473,0.34397163120567376,0.7584269662921348,0.8034351145038168,0.40498442367601245,0.6644951140065146,0.6970198675496688,0.7865612648221344,0.8487903225806451,0.9697674418604652,0.40498442367601245,0.6634146341463415,0.6958677685950413,0.705574912891986,0.7464539007092199,0.7823639774859287,0.6257668711656442,0.6557632398753894,0.6802610114192496,0.8257425742574257,0.6257668711656442,0.6557632398753894,0.6791530944625407,0.7277486910994765,0.6405529953917051,0.6405529953917051
c_c,0.6513761467889908,0.9977064220183486,0.23492723492723494,0.36710963455149503,0.41652892561983473,1.0,0.6070686070686071,0.584717607973422,0.5867768595041323,0.9064449064449065,0.7225913621262459,0.71900826446281,0.4381846635367762,0.4517133956386293,0.4131147540983607,0.9064449064449065,0.7242524916943521,0.7206611570247934,0.5555555555555556,0.557632398753894,0.5819672131147541,0.6823161189358372,0.6791277258566978,0.7131147540983607,0.4482225656877898,0.6823161189358372,0.6791277258566978,0.7147540983606557,0.5533230293663061,0.6738794435857806,0.6738794435857806
c_s,0.8427299703264095,0.604989604989605,0.4688427299703264,0.2974910394265233,0.34397163120567376,0.6070686070686071,1.0,0.532258064516129,0.526595744680851,0.7006237006237006,0.4679186228482003,0.4657320872274143,0.46953405017921146,0.4769503546099291,0.3409490333919156,0.7006237006237006,0.4694835680751174,0.4672897196261682,0.6039426523297491,0.5975177304964538,0.5219683655536028,0.5273865414710485,0.5249221183800623,0.46213292117465227,0.4727592267135325,0.5273865414710485,0.5249221183800623,0.46367851622874806,0.5922671353251318,0.5208655332302936,0.5208655332302936
c_m,0.5482625482625483,0.5830564784053156,0.2114695340501792,0.747104247104247,0.7584269662921348,0.584717607973422,0.532258064516129,1.0,0.951310861423221,0.5633802816901409,0.8588039867109635,0.824390243902439,0.7939068100358423,0.7665505226480837,0.7811320754716982,0.5633802816901409,0.8604651162790697,0.8260162601626017,0.9283154121863799,0.8850174216027874,0.9754716981132076,0.810641627543036,0.7791411042944786,0.8445171849427169,0.787719298245614,0.810641627543036,0.7791411042944786,0.8461538461538461,0.9070175438596492,0.7978395061728395,0.7978395061728395
c_d,0.5419847328244275,0.5851239669421487,0.20921985815602837,0.7059925093632958,0.8034351145038168,0.5867768595041323,0.526595744680851,0.951310861423221,1.0,0.5654205607476636,0.8292682926829268,0.8644628099173554,0.7543554006968641,0.8085106382978723,0.7823639774859287,0.5654205607476636,0.8308943089430895,0.8661157024793389,0.8850174216027874,0.9290780141843972,0.975609756097561,0.7837423312883436,0.8161993769470405,0.8452768729641694,0.7888307155322862,0.7837423312883436,0.8161993769470405,0.8469055374592834,0.9075043630017452,0.7987711213517665,0.7987711213517665
c_s,0.5904365904365905,0.9043659043659044,0.3284823284823285,0.35837245696400627,0.40498442367601245,0.9064449064449065,0.7006237006237006,0.5633802816901409,0.5654205607476636,1.0,0.6932707355242567,0.6900311526479751,0.5086071987480438,0.5218068535825545,0.401854714064915,1.0,0.6948356807511737,0.6915887850467289,0.6259780907668232,0.6277258566978193,0.5610510046367851,0.7527386541471048,0.7492211838006231,0.6846986089644513,0.517774343122102,0.7527386541471048,0.7492211838006231,0.6862442040185471,0.6228748068006182,0.7434312210200927,0.7434312210200927
c_m,0.4700996677740864,0.7237936772046589,0.18779342723004694,0.6439267886855241,0.6644951140065146,0.7225913621262459,0.4679186228482003,0.8588039867109635,0.8292682926829268,0.6932707355242567,1.0,0.9625407166123778,0.6964006259780907,0.6825153374233128,0.6836065573770492,0.6932707355242567,0.9983388704318937,0.9609756097560975,0.8137715179968701,0.7868098159509203,0.8494271685761048,0.9405320813771518,0.906441717791411,0.9836065573770492,0.7006172839506173,0.9405320813771518,0.906441717791411,0.9819967266775778,0.8055555555555556,0.9259259259259259,0.9259259259259259
c_d,0.4677685950413223,0.7201986754966887,0.18691588785046728,0.6140065146579805,0.6970198675496688,0.71900826446281,0.4657320872274143,0.824390243902439,0.8644628099173554,0.6900311526479751,0.9625407166123778,1.0,0.6671779141104295,0.7133956386292835,0.6802610114192496,0.6900311526479751,0.9609756097560975,0.9983471074380166,0.7822085889570553,0.8193146417445483,0.8452768729641694,0.906441717791411,0.940809968847352,0.9787928221859706,0.6973886328725039,0.906441717791411,0.940809968847352,0.9771986970684039,0.8018433179723502,0.9216589861751152,0.9216589861751152
s_m,0.37455197132616486,0.43661971830985913,0.32712215320910976,0.8012422360248447,0.7865612648221344,0.4381846635367762,0.46953405017921146,0.7939068100358423,0.7543554006968641,0.5086071987480438,0.6964006259780907,0.6671779141104295,1.0,0.9347826086956522,0.8107569721115537,0.5086071987480438,0.6979655712050078,0.6687116564417178,0.8655913978494624,0.8240418118466899,0.775438596491228,0.755868544600939,0.7254601226993865,0.6851851851851852,0.9601593625498008,0.755868544600939,0.7254601226993865,0.6867283950617284,0.8456140350877193,0.7438271604938271,0.7438271604938271
s_d,0.3829787234042553,0.4501557632398754,0.3185483870967742,0.7450592885375494,0.8487903225806451,0.4517133956386293,0.4769503546099291,0.7665505226480837,0.8085106382978723,0.5218068535825545,0.6825153374233128,0.7133956386292835,0.9347826086956522,1.0,0.8257425742574257,0.5218068535825545,0.6840490797546013,0.7149532710280374,0.8362369337979094,0.8794326241134752,0.7888307155322862,0.74079754601227,0.7725856697819314,0.6973886328725039,0.9742574257425742,0.74079754601227,0.7725856697819314,0.6989247311827957,0.8586387434554974,0.7557603686635944,0.7557603686635944
m_d,0.34215500945179583,0.41379310344827586,0.1656686626746507,0.9039812646370023,0.9697674418604652,0.4131147540983607,0.3409490333919156,0.7811320754716982,0.7823639774859287,0.401854714064915,0.6836065573770492,0.6802610114192496,0.8107569721115537,0.8257425742574257,1.0,0.401854714064915,0.6824877250409165,0.6791530944625407,0.7263157894736842,0.7277486910994765,0.8052930056710775,0.6435185185185185,0.6405529953917051,0.6995073891625616,0.8502994011976048,0.6435185185185185,0.6405529953917051,0.6983606557377049,0.7486818980667839,0.6584234930448223,0.6584234930448223
c_c_s,0.5904365904365905,0.9043659043659044,0.3284823284823285,0.35837245696400627,0.40498442367601245,0.9064449064449065,0.7006237006237006,0.5633802816901409,0.5654205607476636,1.0,0.6932707355242567,0.6900311526479751,0.5086071987480438,0.5218068535825545,0.401854714064915,1.0,0.6948356807511737,0.6915887850467289,0.6259780907668232,0.6277258566978193,0.5610510046367851,0.7527386541471048,0.7492211838006231,0.6846986089644513,0.517774343122102,0.7527386541471048,0.7492211838006231,0.6862442040185471,0.6228748068006182,0.7434312210200927,0.7434312210200927
c_c_m,0.4717607973421927,0.7225913621262459,0.18935837245696402,0.6428571428571429,0.6634146341463415,0.7242524916943521,0.4694835680751174,0.8604651162790697,0.8308943089430895,0.6948356807511737,0.9983388704318937,0.9609756097560975,0.6979655712050078,0.6840490797546013,0.6824877250409165,0.6948356807511737,1.0,0.9626016260162602,0.8153364632237872,0.7883435582822086,0.851063829787234,0.9420970266040689,0.9079754601226994,0.9819967266775778,0.7021604938271605,0.9420970266040689,0.9079754601226994,0.983633387888707,0.8070987654320988,0.9274691358024691,0.9274691358024691
c_c_d,0.46942148760330576,0.71900826446281,0.18847352024922118,0.6130081300813008,0.6958677685950413,0.7206611570247934,0.4672897196261682,0.8260162601626017,0.8661157024793389,0.6915887850467289,0.9609756097560975,0.9983471074380166,0.6687116564417178,0.7149532710280374,0.6791530944625407,0.6915887850467289,0.9626016260162602,1.0,0.7837423312883436,0.8208722741433022,0.8469055374592834,0.9079754601226994,0.942367601246106,0.9771986970684039,0.6989247311827957,0.9079754601226994,0.942367601246106,0.9788273615635179,0.8033794162826421,0.9231950844854071,0.9231950844854071
c_s_m,0.5089605734767025,0.5539906103286385,0.2831541218637993,0.6935483870967742,0.705574912891986,0.5555555555555556,0.6039426523297491,0.9283154121863799,0.8850174216027874,0.6259780907668232,0.8137715179968701,0.7822085889570553,0.8655913978494624,0.8362369337979094,0.7263157894736842,0.6259780907668232,0.8153364632237872,0.7837423312883436,1.0,0.9547038327526133,0.9070175438596492,0.8732394366197183,0.8404907975460123,0.8009259259259259,0.8578947368421053,0.8732394366197183,0.8404907975460123,0.8024691358024691,0.9771929824561404,0.8595679012345679,0.8595679012345679
c_s_d,0.5035460992907801,0.5560747663551402,0.2801418439716312,0.6567944250871081,0.7464539007092199,0.557632398753894,0.5975177304964538,0.8850174216027874,0.9290780141843972,0.6277258566978193,0.7868098159509203,0.8193146417445483,0.8240418118466899,0.8794326241134752,0.7277486910994765,0.6277258566978193,0.7883435582822086,0.8208722741433022,0.9547038327526133,1.0,0.9075043630017452,0.8450920245398773,0.8785046728971962,0.8018433179723502,0.8586387434554974,0.8450920245398773,0.8785046728971962,0.8033794162826421,0.9773123909249564,0.8602150537634409,0.8602150537634409
c_m_d,0.5368620037807184,0.580327868852459,0.20738137082601055,0.7283018867924528,0.7823639774859287,0.5819672131147541,0.5219683655536028,0.9754716981132076,0.975609756097561,0.5610510046367851,0.8494271685761048,0.8452768729641694,0.775438596491228,0.7888307155322862,0.8052930056710775,0.5610510046367851,0.851063829787234,0.8469055374592834,0.9070175438596492,0.9075043630017452,1.0,0.8024691358024691,0.7987711213517665,0.8655737704918033,0.8101933216168717,0.8024691358024691,0.7987711213517665,0.8672131147540983,0.929701230228471,0.8176197836166924,0.8176197836166924
c_s_m,0.4444444444444444,0.6807511737089202,0.24726134585289514,0.6056338028169014,0.6257668711656442,0.6823161189358372,0.5273865414710485,0.810641627543036,0.7837423312883436,0.7527386541471048,0.9405320813771518,0.906441717791411,0.755868544600939,0.74079754601227,0.6435185185185185,0.7527386541471048,0.9420970266040689,0.9079754601226994,0.8732394366197183,0.8450920245398773,0.8024691358024691,1.0,0.9647239263803681,0.9259259259259259,0.7592592592592593,1.0,0.9647239263803681,0.9274691358024691,0.8641975308641975,0.9845679012345679,0.9845679012345679
c_s_d,0.4423676012461059,0.677570093457944,0.24610591900311526,0.5782208588957055,0.6557632398753894,0.6791277258566978,0.5249221183800623,0.7791411042944786,0.8161993769470405,0.7492211838006231,0.906441717791411,0.940809968847352,0.7254601226993865,0.7725856697819314,0.6405529953917051,0.7492211838006231,0.9079754601226994,0.942367601246106,0.8404907975460123,0.8785046728971962,0.7987711213517665,0.9647239263803681,1.0,0.9216589861751152,0.7557603686635944,0.9647239263803681,1.0,0.9231950844854071,0.8602150537634409,0.9800307219662059,0.9800307219662059
c_m_d,0.4639344262295082,0.7142857142857143,0.18547140649149924,0.6327868852459017,0.6802610114192496,0.7131147540983607,0.46213292117465227,0.8445171849427169,0.8452768729641694,0.6846986089644513,0.9836065573770492,0.9787928221859706,0.6851851851851852,0.6973886328725039,0.6995073891625616,0.6846986089644513,0.9819967266775778,0.9771986970684039,0.8009259259259259,0.8018433179723502,0.8655737704918033,0.9259259259259259,0.9216589861751152,1.0,0.7156105100463679,0.9259259259259259,0.9216589861751152,0.9983606557377049,0.8207109737248841,0.9412673879443586,0.9412673879443586
s_m_d,0.37961335676625657,0.446676970633694,0.3153692614770459,0.7689243027888446,0.8257425742574257,0.4482225656877898,0.4727592267135325,0.787719298245614,0.7888307155322862,0.517774343122102,0.7006172839506173,0.6973886328725039,0.9601593625498008,0.9742574257425742,0.8502994011976048,0.517774343122102,0.7021604938271605,0.6989247311827957,0.8578947368421053,0.8586387434554974,0.8101933216168717,0.7592592592592593,0.7557603686635944,0.7156105100463679,1.0,0.7592592592592593,0.7557603686635944,0.7171561051004637,0.8804920913884007,0.7743431221020093,0.7743431221020093
c_c_s_m,0.4444444444444444,0.6807511737089202,0.24726134585289514,0.6056338028169014,0.6257668711656442,0.6823161189358372,0.5273865414710485,0.810641627543036,0.7837423312883436,0.7527386541471048,0.9405320813771518,0.906441717791411,0.755868544600939,0.74079754601227,0.6435185185185185,0.7527386541471048,0.9420970266040689,0.9079754601226994,0.8732394366197183,0.8450920245398773,0.8024691358024691,1.0,0.9647239263803681,0.9259259259259259,0.7592592592592593,1.0,0.9647239263803681,0.9274691358024691,0.8641975308641975,0.9845679012345679,0.9845679012345679
c_c_s_d,0.4423676012461059,0.677570093457944,0.24610591900311526,0.5782208588957055,0.6557632398753894,0.6791277258566978,0.5249221183800623,0.7791411042944786,0.8161993769470405,0.7492211838006231,0.906441717791411,0.940809968847352,0.7254601226993865,0.7725856697819314,0.6405529953917051,0.7492211838006231,0.9079754601226994,0.942367601246106,0.8404907975460123,0.8785046728971962,0.7987711213517665,0.9647239263803681,1.0,0.9216589861751152,0.7557603686635944,0.9647239263803681,1.0,0.9231950844854071,0.8602150537634409,0.9800307219662059,0.9800307219662059
c_c_m_d,0.46557377049180326,0.7131147540983607,0.18701700154559506,0.6317512274959084,0.6791530944625407,0.7147540983606557,0.46367851622874806,0.8461538461538461,0.8469055374592834,0.6862442040185471,0.9819967266775778,0.9771986970684039,0.6867283950617284,0.6989247311827957,0.6983606557377049,0.6862442040185471,0.983633387888707,0.9788273615635179,0.8024691358024691,0.8033794162826421,0.8672131147540983,0.9274691358024691,0.9231950844854071,0.9983606557377049,0.7171561051004637,0.9274691358024691,0.9231950844854071,1.0,0.8222565687789799,0.9428129829984544,0.9428129829984544
c_s_m_d,0.4991212653778559,0.5517774343122102,0.27768014059753954,0.6771929824561403,0.7277486910994765,0.5533230293663061,0.5922671353251318,0.9070175438596492,0.9075043630017452,0.6228748068006182,0.8055555555555556,0.8018433179723502,0.8456140350877193,0.8586387434554974,0.7486818980667839,0.6228748068006182,0.8070987654320988,0.8033794162826421,0.9771929824561404,0.9773123909249564,0.929701230228471,0.8641975308641975,0.8602150537634409,0.8207109737248841,0.8804920913884007,0.8641975308641975,0.8602150537634409,0.8222565687789799,1.0,0.8794435857805255,0.8794435857805255
c_s_m_d,0.43894899536321486,0.6723338485316847,0.24420401854714066,0.595679012345679,0.6405529953917051,0.6738794435857806,0.5208655332302936,0.7978395061728395,0.7987711213517665,0.7434312210200927,0.9259259259259259,0.9216589861751152,0.7438271604938271,0.7557603686635944,0.6584234930448223,0.7434312210200927,0.9274691358024691,0.9231950844854071,0.8595679012345679,0.8602150537634409,0.8176197836166924,0.9845679012345679,0.9800307219662059,0.9412673879443586,0.7743431221020093,0.9845679012345679,0.9800307219662059,0.9428129829984544,0.8794435857805255,1.0,1.0
c_c_s_m_d,0.43894899536321486,0.6723338485316847,0.24420401854714066,0.595679012345679,0.6405529953917051,0.6738794435857806,0.5208655332302936,0.7978395061728395,0.7987711213517665,0.7434312210200927,0.9259259259259259,0.9216589861751152,0.7438271604938271,0.7557603686635944,0.6584234930448223,0.7434312210200927,0.9274691358024691,0.9231950844854071,0.8595679012345679,0.8602150537634409,0.8176197836166924,0.9845679012345679,0.9800307219662059,0.9412673879443586,0.7743431221020093,0.9845679012345679,0.9800307219662059,0.9428129829984544,0.8794435857805255,1.0,1.0
